"﻿""Series""";Time;Value
yzh mirror;2025-07-16T16:30:00+08:00;1554.8838451308839
yzh mirror;2025-07-16T16:40:00+08:00;997.4054922780165
yzh mirror;2025-07-16T16:50:00+08:00;1431.1367199470355
yzh mirror;2025-07-16T17:00:00+08:00;1668.108303716656
yzh mirror;2025-07-16T17:10:00+08:00;1682.5251902674097
yzh mirror;2025-07-16T17:20:00+08:00;1420.3779269767194
yzh mirror;2025-07-16T17:30:00+08:00;4435.297298236891
yzh mirror;2025-07-16T17:40:00+08:00;962.0281641309411
yzh mirror;2025-07-16T17:50:00+08:00;924.1620952558656
yzh mirror;2025-07-16T18:00:00+08:00;952.6281200203414
yzh mirror;2025-07-16T18:10:00+08:00;826.7487688685557
yzh mirror;2025-07-16T18:20:00+08:00;1870.4435600957258
yzh mirror;2025-07-16T18:30:00+08:00;897.9706136845168
yzh mirror;2025-07-16T18:40:00+08:00;853.1601996484942
yzh mirror;2025-07-16T18:50:00+08:00;826.8776035701535
yzh mirror;2025-07-16T19:00:00+08:00;825.2399017682308
yzh mirror;2025-07-16T19:10:00+08:00;858.8985777562461
yzh mirror;2025-07-16T19:20:00+08:00;955.308834153206
yzh mirror;2025-07-16T19:30:00+08:00;962.8652997741625
yzh mirror;2025-07-16T19:40:00+08:00;979.706189153716
yzh mirror;2025-07-16T19:50:00+08:00;986.3376541428354
yzh mirror;2025-07-16T20:00:00+08:00;975.366705363013
yzh mirror;2025-07-16T20:10:00+08:00;872.0705626145875
yzh mirror;2025-07-16T20:20:00+08:00;949.6185770427657
yzh mirror;2025-07-16T20:30:00+08:00;1104.79171621106
yzh mirror;2025-07-16T20:40:00+08:00;1446.269306115079
yzh mirror;2025-07-16T20:50:00+08:00;1510.2579170541505
yzh mirror;2025-07-16T21:00:00+08:00;1186.8691569897155
yzh mirror;2025-07-16T21:10:00+08:00;1185.5680865786744
yzh mirror;2025-07-16T21:20:00+08:00;1156.1173540618574
yzh mirror;2025-07-16T21:30:00+08:00;953.1410676812754
yzh mirror;2025-07-16T21:40:00+08:00;913.6177570741809
yzh mirror;2025-07-16T21:50:00+08:00;923.5441861616614
yzh mirror;2025-07-16T22:00:00+08:00;979.61709702279
yzh mirror;2025-07-16T22:10:00+08:00;950.4337652484783
yzh mirror;2025-07-16T22:20:00+08:00;871.7697737711194
yzh mirror;2025-07-16T22:30:00+08:00;982.7929667634944
yzh mirror;2025-07-16T22:40:00+08:00;894.373215518347
yzh mirror;2025-07-16T22:50:00+08:00;986.5714161074122
